                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0637,                0.93412,                 1.0023,                0.89727,                0.72222,                0.81254,                0.53882,                 1.1925,                 1.5996,                 1.1462,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0239,                0.94174,                 1.0355,                0.91051,                0.77778,                0.85044,                0.56892,                 1.1833,                 1.4936,                 1.1365,               0.000614,               0.000614,               0.000614
                     37,                 1.0489,                 0.9967,                 1.0614,                0.91051,                0.77778,                0.85044,                0.56892,                 1.1833,                 1.4936,                 1.1365,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0779,                0.90751,                 1.0313,                0.92057,                0.74074,                 0.8459,                0.55602,                 1.1969,                 1.3857,                 1.1409,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0052,                0.89639,                 1.0174,                0.87559,                0.78209,                0.87992,                0.55665,                 1.2111,                 1.2932,                 1.1449,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0691,                 0.9616,                  1.083,                0.86133,                 0.7963,                0.90055,                0.58916,                 1.1934,                 1.1907,                 1.1349,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0255,                 1.0735,                0.98302,                0.86133,                 0.7963,                0.90055,                0.58916,                 1.1934,                 1.1907,                 1.1349,               0.000416,               0.000416,               0.000416
                     42,                0.89772,                0.82166,                0.99158,                0.91263,                0.77778,                0.90194,                0.59381,                 1.2055,                 1.2037,                 1.1393,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.8756,                0.84375,                0.98616,                0.91988,                0.75926,                0.88821,                0.58193,                 1.1844,                 1.2572,                 1.1434,              0.0003368,              0.0003368,              0.0003368
                     44,                0.95669,                0.88263,                 0.9764,                0.94371,                0.75926,                0.89482,                0.59887,                 1.1661,                 1.2761,                 1.1325,              0.0002972,              0.0002972,              0.0002972
                     45,                0.78849,                0.76549,                0.91184,                0.94371,                0.75926,                0.89482,                0.59887,                 1.1661,                 1.2761,                 1.1325,              0.0002576,              0.0002576,              0.0002576
                     46,                0.82615,                 0.7484,                0.94428,                0.92692,                0.75926,                0.90615,                0.60534,                  1.158,                 1.2688,                 1.1177,               0.000218,               0.000218,               0.000218
                     47,                0.79845,                0.78943,                0.93932,                0.83637,                0.85192,                0.92702,                0.60899,                 1.1698,                 1.2349,                 1.1065,              0.0001784,              0.0001784,              0.0001784
                     48,                0.84141,                0.78585,                0.93172,                0.85352,                0.86334,                0.93329,                0.61393,                 1.1813,                 1.1762,                 1.1021,              0.0001388,              0.0001388,              0.0001388
                     49,                0.85685,                   0.78,                0.93029,                0.85352,                0.86334,                0.93329,                0.61393,                 1.1813,                 1.1762,                 1.1021,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.8174,                0.76118,                 0.9467,                0.86436,                0.88889,                0.94233,                0.62779,                 1.1776,                 1.1234,                 1.0967,               5.96e-05,               5.96e-05,               5.96e-05
